id,name
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Argentina
6,Armenia
7,Aruba
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Belarus
15,Belgium
16,Bermuda
17,Bolivia
18,Bosnia and Herzegovina
19,Botswana
20,Brazil
21,Bulgaria
22,Burkina Faso
23,Burundi
24,C̫te d'Ivoire
25,Cambodia
26,Cameroon
27,Canada
28,Cayman Islands
29,Chad
30,Chile
31,China
32,Colombia
33,Congo
34,Costa Rica
35,Croatia
36,Cuba
37,Cyprus
38,Czech Republic
39,Czechoslovakia
40,Denmark
41,Djibouti
42,Dominican Republic
43,East Germany
44,Ecuador
45,Egypt
46,El Salvador
47,Equatorial Guinea
48,Estonia
49,Ethiopia
50,Federal Republic of Yugoslavia
51,Finland
52,France
53,Georgia
54,Germany
55,Ghana
56,Greece
57,Guam
58,Guatemala
59,Haiti
60,Holy See (Vatican City State)
61,Honduras
62,Hong Kong
63,Hungary
64,Iceland
65,India
66,Indonesia
67,Iran
68,Iraq
69,Ireland
70,Isle Of Man
71,Israel
72,Italy
73,Jamaica
74,Japan
75,Jordan
76,Kazakhstan
77,Kenya
78,Korea
79,Kosovo
80,Kuwait
81,Kyrgyzstan
82,Laos
83,Latvia
84,Lebanon
85,Liberia
86,Libya
87,Liechtenstein
88,Lithuania
89,Luxembourg
90,Macao
91,Malawi
92,Malaysia
93,Mali
94,Malta
95,Mexico
96,Moldova
97,Monaco
98,Mongolia
99,Montenegro
100,Morocco
101,Mozambique
102,Namibia
103,Nepal
104,Netherlands
105,New Zealand
106,Nicaragua
107,Nigeria
108,Norway
109,Oman
110,Pakistan
111,Palestine
112,Panama
113,Papua New Guinea
114,Paraguay
115,Peru
116,Philippines
117,Poland
118,Portugal
119,Puerto Rico
120,Qatar
121,Republic of North Macedonia
122,Reunion
123,Romania
124,Russia
125,Rwanda
126,Saudi Arabia
127,Senegal
128,Serbia
129,Serbia and Montenegro
130,Sierra Leone
131,Singapore
132,Slovakia
133,Slovenia
134,Somalia
135,South Africa
136,South Korea
137,Soviet Union
138,Spain
139,Sri Lanka
140,Sudan
141,Swaziland
142,Sweden
143,Switzerland
144,Syria
145,Taiwan
146,Tajikistan
147,Tanzania
148,Thailand
149,The Democratic Republic Of Congo
150,Tonga
151,Trinidad and Tobago
152,Tunisia
153,Turkey
154,U.S. Virgin Islands
155,Uganda
156,Ukraine
157,United Arab Emirates
158,United Kingdom
159,United States
160,Uruguay
161,Vanuatu
162,Venezuela
163,Vietnam
164,West Germany
165,Yemen
166,Yugoslavia
167,Zambia
168,Zimbabwe
